Playlist_uri,Song_title,Release_year,Duration_in_seconds,artist_name
spotify:playlist:37i9dQZF1DXcBWIGoYBM5M,Lovin On Me,2023,2:18,Jack Harlow
spotify:playlist:37i9dQZF1DXcBWIGoYBM5M,greedy,2023,2:11,Tate McRae
spotify:playlist:37i9dQZF1DXcBWIGoYBM5M,Agora Hills,2023,4:25,Doja Cat
spotify:playlist:37i9dQZF1DXcBWIGoYBM5M,Houdini,2023,3:05,Dua Lipa
spotify:playlist:37i9dQZF1DXcBWIGoYBM5M,Strangers,2023,2:52,Kenya Grace
spotify:playlist:37i9dQZF1DXcBWIGoYBM5M,Is It Over Now? (Taylor's Version) (From The Vault),2023,3:49,Taylor Swift
spotify:playlist:37i9dQZF1DXcBWIGoYBM5M,Water - Remix,2023,3:20,Tyla
spotify:playlist:37i9dQZF1DXcBWIGoYBM5M,Snooze,2022,3:21,SZA
spotify:playlist:37i9dQZF1DXcBWIGoYBM5M,Standing Next to You,2023,3:26,Jung Kook
spotify:playlist:37i9dQZF1DXcBWIGoYBM5M,MONACO,2023,4:27,Bad Bunny
spotify:playlist:37i9dQZF1DXcBWIGoYBM5M,Paint The Town Red,2023,3:51,Doja Cat
spotify:playlist:37i9dQZF1DXcBWIGoYBM5M,exes,2023,2:39,Tate McRae
spotify:playlist:37i9dQZF1DXcBWIGoYBM5M,vampire,2023,3:39,Olivia Rodrigo
spotify:playlist:37i9dQZF1DXcBWIGoYBM5M,I Remember Everything (feat. Kacey Musgraves),2023,3:47,Zach Bryan
spotify:playlist:37i9dQZF1DXcBWIGoYBM5M,Cruel Summer,2019,2:58,Taylor Swift
spotify:playlist:37i9dQZF1DXcBWIGoYBM5M,My Love Mine All Mine,2023,2:17,Mitski
spotify:playlist:37i9dQZF1DXcBWIGoYBM5M,Popular (with Playboi Carti & Madonna) - Music from the HBO Original Series,2023,3:35,The Weeknd
spotify:playlist:37i9dQZF1DXcBWIGoYBM5M,Si No Estás,2022,3:04,iñigo quintero
spotify:playlist:37i9dQZF1DXcBWIGoYBM5M,Dance The Night - From Barbie The Album,2023,2:56,Dua Lipa
spotify:playlist:37i9dQZF1DXcBWIGoYBM5M,Calm Down (with Selena Gomez),2022,3:59,Rema
spotify:playlist:37i9dQZF1DXcBWIGoYBM5M,Stick Season,2022,3:02,Noah Kahan
spotify:playlist:37i9dQZF1DXcBWIGoYBM5M,Seven (feat. Latto) (Explicit Ver.),2023,3:04,Jung Kook
spotify:playlist:37i9dQZF1DXcBWIGoYBM5M,Lose Control,2023,3:30,Teddy Swims
spotify:playlist:37i9dQZF1DXcBWIGoYBM5M,Kill Bill,2022,2:33,SZA
