Playlist_uri,Playlist_name
spotify:playlist:37i9dQZF1DXcBWIGoYBM5M,Today’s Top Hits
spotify:playlist:37i9dQZF1DX0XUsuxWHRQd,RapCaviar
spotify:playlist:37i9dQZF1DX1lVhptIYRda,Hot Country
spotify:playlist:37i9dQZF1DX10zKzsJ2jva,Viva Latino
spotify:playlist:37i9dQZF1DX4JAvHpjipBk,New Music Friday
spotify:playlist:37i9dQZF1DX4sWSpwq3LiO,Peaceful Piano
spotify:playlist:37i9dQZF1DX4SBhb3fqCJd,RNB X
spotify:playlist:37i9dQZF1DWXRqgorJj26U,Rock Classics
spotify:playlist:37i9dQZF1DX4dyzvuaRJ0n,mint
spotify:playlist:37i9dQZF1DXcF6B6QPhFDv,Rock This
spotify:playlist:37i9dQZF1DWXJfnUiYjUKT,New Music Friday
spotify:playlist:37i9dQZF1DXcRXFNfZr7Tp,just hits
spotify:playlist:37i9dQZF1DX4o1oenSJRJd,All Out 2000s
spotify:playlist:37i9dQZF1DXbTxeAdrVG2l,All Out 90s
spotify:playlist:37i9dQZF1DX4UtSsGT1Sbe,All Out 80s
spotify:playlist:37i9dQZF1DWTJ7xPn4vNaz,All Out 70s
spotify:playlist:37i9dQZF1DXaKIA8E7WcJj,All Out 60s
spotify:playlist:37i9dQZF1DWSV3Tk4GO2fq,All Out 50s
spotify:playlist:37i9dQZF1DWTwnEm1IYyoj,Soft Pop Hits
spotify:playlist:37i9dQZF1DX2A29LI7xHn1,Signed XOXO
spotify:playlist:37i9dQZF1DX2RxBh64BHjQ,Most Necessary
spotify:playlist:37i9dQZF1DWVA1Gq4XHa6U,Gold School
spotify:playlist:37i9dQZF1DWY4xHQp97fN6,Get Turnt
spotify:playlist:37i9dQZF1DWX3387IZmjNa,B.A.E.
spotify:playlist:37i9dQZF1DWYkaDif7Ztbp,African Heat
spotify:playlist:37i9dQZF1DXan38dNVDdl4,Dancehall Official
spotify:playlist:37i9dQZF1DWSvKsRPPnv5o,Westside Story
spotify:playlist:37i9dQZF1DWUVpAXiEPK8P,Power Workout
