Song_title,Release_year,Duration_in_seconds,artist_name,Playlist_name,processed_lyrics
Lovin On Me,2023,138,Jack Harlow,Today’s Top Hits,like whips chains tie whip lovin baby whip lovin baby vanilla baby choke killer baby twentyeight tellin still baby get love detroit like skilla baby thing boy like whips chains tie whip lovin baby thats right thats right whip lovin baby young jack aka rico like suave young enrique speakin aka shes alpha around boy get quiet round boy hold heard thought boy lied boy goin dumb somethin idiotic boy wearin cheetah print thats bad bе spotted round boy like whips chains tie mе whip lovin baby whip lovin might also like vanilla baby choke killer baby twentyeight tellin still baby get love detroit like skilla baby thing boy like whips chains tie whip lovin baby whip lovin baby young missionary sharp like barbed wire stole heart archived keep short bitch lord farquaad girls front row girls barricade girls waitin day let tongue hang fuck everything came man let go hand everybody suite kickin feet stand bitch dance like whips chains tie guys back waitin next track whip lovin baby cut boy slack whip lovin young jack vanilla baby choke killer baby twentyeight tellin still baby get love detroit like skilla baby thing boy like whips chains tie whip lovin baby thats right thats right whip lovin baby like whips chains tie whip lovin baby whip lovin baby1embed
greedy,2023,131,Tate McRae,Today’s Top Hits,​greedy said serious tried figure next night still keep talkin much comin mouth tell want say would want baby please believe put hell sure baby get greedy shit wont end well end well see eyein youll never much past name runnin room around still half age loo lookin like sweet escape obvious want said might also like would want baby please believe put hell sure baby get greedy shit wont end well end well said curious real act tell love hate never met someone like drive crazy effect said lem check would want baby please believe put hell sure baby get greedy shit wont end well end well would want 18embed
Agora Hills,2023,265,Doja Cat,Today’s Top Hits,hills kissin hope caught us whether like show show brag tie knot show show show show show show show show show hold hand hit watch boy might also like 930 see hang hang somethin different love hit smack baby let lick tattoos thats true like pda take seedy place suck little dick bathroom man big strong hands ass club paps baby thats frontseat chillin window ten toеs dash gettin fast food hope handlе heat put name streets get used fans lookin fuck heard fuck birds mean kitty get stabbed rat tooth boys mad fuck incels girls hate gun pigtail love big chill boy trip split big bill take round world understand rub face put rock hand baby call back miss lonely mansion kissin hope caught us whether like show show brag tie knot show show show show show show show show show hold hand hit watch boy ah sorry takin sip root beer cause love pain need shit fuck good bean kicks like fortnite need skin give fuck penis boy one man onlyfans holy cow holy trin hold hole need dick security therapy holding shit back need space give broke heart fixed long walk beach love honkhonk street see us zoom jeep whole damn joint energy baby could ride enemies get let feel feel philistines cause type loves epitome said baby literally capping right like capping cap hard its— kissin hope caught us whether like show show brag tie knot show show show show show show show show show hold hand hit watch boy18embed
Houdini,2023,185,Dua Lipa,Today’s Top Hits,okay come go tell ways need long catch go houdini come go prove right please everybody knows catch go houdini time passin like solar eclipse see watchin blow kiss moment baby let slip come closer readin lips say come go tell ways need long catch go houdini come go prove right please everybody knows catch go houdini might also like good enough youll find way maybe could cause girl change ways think night day maybe could one make stay everything say soundin sweet practise everythin preach need something thatll make believe baby give say come go tell ways need long catch go houdini come go prove right please everybody knows catch go houdini good enough youll find way maybe could cause girl change ways think night day maybe could one make stay ohoh come go tell ways need long catch go houdini come go prove right please everybody knows catch go houdini houdini catch go houdini9embed
Strangers,2023,172,Kenya Grace,Today’s Top Hits,always ends every time meet somebody new like déjà vu swear sound like skin every word say sounds like goes like well get car youll lean kiss well talk hours lie backseat one random night everything changes wont reply well go back strangers might also like something hate evеryones disposable every timе date somebody new feel vulnerable itll never change stay like never endin datin breakin goes like well get car youll lean kiss well talk hours lie backseat one random night everything changes wont reply well go back strangers always ends every time meet somebody new like déjà vu spoke months well ever mean say love goes like well get car youll lean kiss well talk hours lie backseat one random night everything changes wont reply well go back strangers 1embed
Is It Over Now? (Taylor's Version) (From The Vault),2023,229,Taylor Swift,Today’s Top Hits,flight flown wilt rose slept alone still wouldnt go lets fast forward three hundred takeout coffees later see profile smile unsuspecting waiters dream mouth called lying traitor search every maidens bed somethin greater baby laid couch unbuttoned blouse come whispered ear dream passеd baby whеn lost control red blood white snow blue dress boat new girl clone might also like think didnt see flashin lights least decency keep nights sight rumors hips thighs whispered sighs lord think jumpin tall somethings see come runnin say one thing wanting lets fast forward three hundred awkward blind dates later shes blue eyes surmise youll probably date dream mouth called lying traitor search every models bed somethin greater baby laid couch unbuttoned blouse come whispered ear dream passed baby think didnt see flashin lights least decency keep nights sight rumors hips thighs whispered sighs lord think jumpin tall somethings see come runnin say one thing wanting lets fast forward three hundred takeout coffees later hoping youd say one thing wanting 2embed
Water - Remix,2023,200,Tyla,Today’s Top Hits,make sweat make lose breath make sweat make lose breath normally keep cool tonight wildin dangerous mood match timing mmm tellin really try hide talk cheap show understand like blow mind set whole body give time snatch soul wait come take takе bеfore blow mind set whole body might also like make sweat make hotter make lose breath make water make sweat make hotter make lose breath make water low keep hot like flame make whole life change shes palm body wrist plain eliantte bustdown chain way thing move girl waist change lovin bounce like sprang couple thangs exchange created ap timing one outshine matter dress fine dining inside bonnet iconic deserve princess diamonds deserve trip islands post baby comment keep wet thats reallife challenge ass pour gallons beauty top keep balance bag wildin hide talent even bet find comin plus twoseven dial make sweat make lose breath make sweat make lose breath make sweat make hotter make lose breath make water make sweat make hotter make lose breath make water make sweat make hotter make lose breath make water make sweat make hotter make lose breath make water1embed
Snooze,2022,201,SZA,Today’s Top Hits,think touch fire three four times testify told lie id kill bitch around scared long juggin mobbin schemin lootin hide bodies long dreamin problem nobody right tell truth look better lose snooze miss moment important nobody body like lose snooze miss moment important nobody body like droptop ride feel like scarface like white bitch bob main one lеts take argument back place sex remind nonviolent day one shit yet magic smash grab shit nasty habits take hold home hard grow sayin might also like lose snooze miss moment important nobody body like lose snooze miss moment important nobody body like main one ridin frontin main one tryin blame main one lyin threatenin leave main one cryin tryna everything main one ridin frontin main one tryin blame main one lyin threatenin leave main one cryin lose snooze miss moment important nobody body like lose snooze miss moment important nobody body like nah nah nah nah think woah see lose think oh14embed
Standing Next to You,2023,206,Jung Kook,Today’s Top Hits,next standing next play slow push funk give miracles make known left right something control night long rock screaming testify lovin night long flock screaming testify well survive test time deny love divide us well survive test time promise right standing next standing fire next deeper rain deeper pain deep like dna something take away ayy taketaketaketaketaketake might also like standing next standing next standing next afterglow leave body golden like sun moon night long rock screaming testify lovin night long flock screaming testify well survive test time deny love divide us well survive test time swear right standing next standing fire next deeper rain deeper pain deep like dna something take away ayy taketaketaketaketaketake standing next standing next standing next standing next bass drums woo standing next you3embed
Paint The Town Red,2023,231,Doja Cat,Today’s Top Hits,town red walk walk walk walk bitch said said id rather famous instead let get head care paint town red bitch said said id rather famous instead let get head care paint town red devil bad bitch rebel put foot pedal itll take whole lot settle devil bad bitch rebel put foot pedal itll take whole lot settle might also like said happiness misery put good dick kidneys margiel come jealousy illness come remedy much fun without hennessy want love energy talk shit without penalties bitch yo shit send going glow one time trust magical foresight see sleepin courtside see eatin ten times ugh take bitch nowhere ugh look better hair ugh sign smoke ugh gim chance go bitch said said id rather famous instead let get head care paint town red bitch said said id rather famous instead let get head care paint town red devil bad bitch rebel put foot pedal itll take whole lot settle devil bad bitch rebel put foot pedal itll take whole lot settle said pop make money try bitch could use revamp new vibe sis need big feature new sidekick need new fan cause boo like need wear wig make like twotime bitch knew id win throw shot like tryna food fight opps waitin bet said drive need car money really fiendin doin things seen fans dumb extremists demon lord fall seen horse called bluff better cite source fame somethin need cause bitch said said id rather famous instead let get head care paint town red bitch said said id rather famous instead let get head care paint town red devil bad bitch rebel put foot pedal itll take whole lot settle devil bad bitch rebel put foot pedal itll take whole lot settle walk walk walk walk walk by12embed
